date,open,close,high,low,volume
20201229  10:55,661.93,664.89,665.37,661.76,2480
20201229  11:00,664.8,663.01,665.49,662.78,2133
20201229  11:05,663.01,663.5,663.99,662.65,1027
20201229  11:10,663.79,662.86,664.09,662.01,1120
20201229  11:15,662.83,660.9,662.97,659.89,2176
20201229  11:20,660.95,660.02,661.49,659.4,1638
20201229  11:25,659.89,661.19,661.25,659,1468
20201229  11:30,661.22,662.09,662.32,660.72,969
20201229  11:35,662.19,663.19,663.26,661.39,1363
20201229  11:40,663,662.47,663.6,662.12,1094
20201229  11:45,662.47,661.97,662.75,661.55,869
20201229  11:50,661.99,660.8,662.5,660.55,840
20201229  11:55,660.83,661.81,661.84,660.25,832
20201229  12:00,661.67,660.43,661.84,660.34,712
20201229  12:05,660.46,660.49,661,659.4,1610
20201229  12:10,660.64,659.24,660.84,658.65,2145
20201229  12:15,659.34,658.68,660,658.2,1394
20201229  12:20,658.47,658.5,659.22,658.1,1155
20201229  12:25,658.58,658.99,659.24,657.56,1707
20201229  12:30,658.67,659.7,660.2,658,1193
20201229  12:35,659.72,659.79,660.79,659.5,1175
20201229  12:40,659.84,661.4,661.49,659.5,1054
20201229  12:45,661.41,660.81,661.46,660.21,918
20201229  12:50,660.52,660.75,660.87,660,700
20201229  12:55,660.75,662.66,662.75,660.59,1517
20201229  13:00,662.7,664.02,665,662.46,2998
20201229  13:05,664.12,664.2,664.5,663.16,1525
20201229  13:10,664.14,663.79,664.25,663.23,767
20201229  13:15,663.77,663.76,664.39,663.27,963
20201229  13:20,663.8,663.82,664,663.4,447
20201229  13:25,663.96,666.1,666.37,663.53,2564
20201229  13:30,665.99,664.2,666.24,663.93,1224
20201229  13:35,664.23,664.04,665.11,663.56,900
20201229  13:40,663.97,664.23,664.3,663,953
20201229  13:45,664.24,664.22,664.62,663.5,538
20201229  13:50,664.3,665.19,665.4,664.23,1096
20201229  13:55,665.12,665.75,665.84,664.91,746
20201229  14:00,665.73,664.86,665.75,664.18,819
20201229  14:05,664.9,664.08,665.06,663.75,692
20201229  14:10,664.17,663.06,664.25,662.7,959
20201229  14:15,663,663.51,664.14,662.94,638
20201229  14:20,663.48,662.78,663.48,662.49,543
20201229  14:25,662.89,663.03,663.51,662.24,535
20201229  14:30,663.24,663.82,664,663,633
20201229  14:35,663.67,662.85,663.88,661.85,896
20201229  14:40,662.81,661.69,662.81,660.75,1007
20201229  14:45,661.63,662.28,662.45,660.83,834
20201229  14:50,662.05,663.73,663.73,661.93,1297
20201229  14:55,663.6,662.85,663.72,661.5,1322
20201229  15:00,662.91,663.23,663.51,662.72,643
20201229  15:05,663.16,662.95,663.26,662.57,429
20201229  15:10,662.85,664.17,664.26,662.85,908
20201229  15:15,664.15,665.05,665.36,663.68,1559
20201229  15:20,664.9,665.74,665.86,664.64,1378
20201229  15:25,665.81,664.08,665.85,663.62,1455
20201229  15:30,664.09,664.53,664.96,663.76,913
20201229  15:35,664.6,665.28,665.8,664.48,1076
20201229  15:40,665.43,664.9,665.45,664.49,1036
20201229  15:45,665.11,663.68,665.3,663.62,1481
20201229  15:50,663.69,664.89,665.2,663.69,1587
20201229  15:55,665,665.98,666.1,664.92,3571
20201229  16:00,665.98,665.74,666,665.44,5838
20201229  16:05,665.6,665.51,665.99,665.14,4886
20201229  16:10,665.5,665.7,665.9,665.5,73
20201229  16:15,665.7,665.51,665.7,665.51,3
20201229  16:20,665.8,665.73,665.9,665.73,10
20201229  16:25,665.89,665.96,665.96,665.74,11
20201229  16:30,665.96,665.55,665.96,665.52,38
20201229  16:35,665.5,665.3,665.65,665.3,73
20201229  16:40,665.35,665.44,665.45,665.26,13
20201229  16:45,665.35,664.5,665.39,664.49,62
20201229  16:50,664.7,664.95,664.95,664.7,3
20201229  16:55,664.8,665.15,665.15,664.75,59
20201229  17:00,665.32,664.9,665.32,664.9,22
20201229  17:05,664.7,665.08,665.08,664.7,20
20201229  17:10,664.95,664.75,665.2,664.75,14
20201229  17:15,664.55,664.55,664.55,664.55,1
20201229  17:20,664.79,664.75,664.8,664.73,18
20201229  17:25,664.6,665.38,665.55,664.6,15
20201229  17:30,665.35,665.45,665.64,665.35,5
20201229  17:35,665.68,665.73,665.81,665.68,14
20201229  17:40,665.7,665.7,665.7,665.56,6
20201229  17:45,665.6,665.6,665.7,665.6,5
20201229  17:50,665.5,665.4,665.75,665.36,28
20201229  17:55,665.58,665.7,665.7,665.5,6
20201229  18:00,665.51,665.5,665.75,665.5,20
20201229  18:05,665.5,665.5,665.51,665.41,4
20201229  18:10,665.71,665.19,665.71,665.17,7
20201229  18:15,665.2,665,665.51,665,28
20201229  18:20,664.98,664.78,664.98,664.78,8
20201229  18:25,664.8,665.28,665.28,664.8,6
20201229  18:30,665,665.4,665.4,665,10
20201229  18:35,665,665,665,665,1
20201229  18:40,665.44,665.34,665.44,665,12
20201229  18:45,665.02,665.02,665.02,665.02,2
20201229  18:50,665.02,665.02,665.02,665.02,6
20201229  18:55,665.02,665,665.1,665,16
20201229  19:00,665,665.01,665.01,665,8
20201229  19:05,665.18,665,665.19,665,3
20201229  19:10,665.18,665.01,665.19,665,8
20201229  19:15,665.19,665.8,665.8,665.19,23
20201229  19:20,665.45,664.99,665.45,664.9,42
20201229  19:25,664.75,664.9,664.9,664.75,3
20201229  19:30,664.9,664.82,664.9,664.77,9
20201229  19:35,665,665.1,665.1,665,17
20201229  19:40,665.2,665.3,665.45,665.2,9
20201229  19:45,665.2,664.9,665.2,664.9,69
20201229  19:50,665.06,665.06,665.2,665.06,4
20201229  19:55,665.39,665.39,665.39,665.2,11
20201230  04:00,665.38,665.38,665.38,665.37,2
20201230  04:05,664.8,664,664.8,664,3
20201230  04:10,664,664,664,664,0
20201230  04:15,664,664,664,664,0
20201230  04:20,664,664,664,664,0
20201230  04:25,664,664,664,664,0
20201230  04:30,664.51,664.51,664.51,664.51,2
20201230  04:35,664.51,664.51,664.51,664.51,0
20201230  04:40,664.51,664.51,664.51,664.51,0
